"Country or Area","Year","Value"
"Australia","2018","236.00270391"
"Australia","2017","202.62553668"
"Australia","2016","224.924133892"
"Australia","2015","171.323657071029"
"Australia","2014","192.535990598746"
"Australia","2013","192.001235884438"
"Australia","2012","294.882946981773"
"Australia","2011","301.304839525102"
"Australia","2010","283.315234628066"
"Australia","2009","358.551981149097"
"Australia","2008","444.516693559401"
"Australia","2007","582.676819046088"
"Australia","2006","687.059841760489"
"Australia","2005","1791.70111972472"
"Australia","2004","1713.84870550831"
"Australia","2003","1683.98477494731"
"Australia","2002","1727.62315282097"
"Australia","2001","1801.88197415979"
"Australia","2000","1287.06178871158"
"Australia","1999","1139.05875745416"
"Australia","1998","1660.51882000668"
"Australia","1997","1228.1508980875"
"Australia","1996","1410.39505848126"
"Australia","1995","1530.83566492632"
"Australia","1994","2164.42874878371"
"Australia","1993","3315.52837602798"
"Australia","1992","4603.282544266"
"Australia","1991","4610.74329393256"
"Australia","1990","4607.01291909928"
"Austria","2018","32.5187"
"Austria","2017","44.08975"
"Austria","2016","50.39009"
"Austria","2015","49.549343"
"Austria","2014","53.028514"
"Austria","2013","49.22899"
"Austria","2012","50.715244"
"Austria","2011","73.51273"
"Austria","2010","78.048961"
"Austria","2009","36.02206"
"Austria","2008","208.1864855"
"Austria","2007","230.332465"
"Austria","2006","172.3869125"
"Austria","2005","163.2852"
"Austria","2004","157.57325"
"Austria","2003","126.38302"
"Austria","2002","101.974977939939"
"Austria","2001","116.337427939939"
"Austria","2000","87.86564"
"Austria","1999","79.1829096859275"
"Austria","1998","55.5311426684334"
"Austria","1997","117.471744"
"Austria","1996","80.25417"
"Austria","1995","83.34963"
"Austria","1994","70.956369"
"Austria","1993","63.52011"
"Austria","1992","510.473091"
"Austria","1991","1192.61742216"
"Austria","1990","1182.78680316"
"Belgium","2018","131.32087098745"
"Belgium","2017","179.173647634745"
"Belgium","2016","402.737100403212"
"Belgium","2015","143.736706115849"
"Belgium","2014","128.435751095175"
"Belgium","2013","134.925757311551"
"Belgium","2012","115.323610386749"
"Belgium","2011","157.046953996772"
"Belgium","2010","104.767690493802"
"Belgium","2009","457.440751050176"
"Belgium","2008","548.201279739177"
"Belgium","2007","118.219986264436"
"Belgium","2006","113.762842706993"
"Belgium","2005","173.783908420002"
"Belgium","2004","378.58037756552"
"Belgium","2003","259.101322356584"
"Belgium","2002","101.056756156584"
"Belgium","2001","275.840256156584"
"Belgium","2000","446.1100272947"
"Belgium","1999","428.74688744057"
"Belgium","1998","843.866492939303"
"Belgium","1997","1528.91853903915"
"Belgium","1996","2766.91383"
"Belgium","1995","2914.28531"
"Belgium","1994","2637.36937"
"Belgium","1993","2195.90067"
"Belgium","1992","2284.7677"
"Belgium","1991","2096.42035"
"Belgium","1990","2191.04861"
"Bulgaria","2018","0.0143391862383"
"Bulgaria","2017","0.03073579856605"
"Bulgaria","2016","0.0233131664757"
"Bulgaria","2015","0.0276821474658"
"Bulgaria","2014","0.03288584829846"
"Bulgaria","2013","0.03908750327438"
"Bulgaria","2012","0.0464831354475"
"Bulgaria","2011","0.05530833855"
"Bulgaria","2010","0.063742887"
"Bulgaria","2009","0.05586741"
"Bulgaria","2008","0.0206622"
"Canada","2018","621.033002948857"
"Canada","2017","744.095798071204"
"Canada","2016","764.677004589488"
"Canada","2015","968.003495217217"
"Canada","2014","1088.02394780132"
"Canada","2013","1616.98917051927"
"Canada","2012","1798.50111224376"
"Canada","2011","1686.64724578524"
"Canada","2010","1858.50247508836"
"Canada","2009","2509.78305267157"
"Canada","2008","2600.87553900846"
"Canada","2007","2533.62902795267"
"Canada","2006","2985.12847360248"
"Canada","2005","3838.44885149476"
"Canada","2004","3521.87893870307"
"Canada","2003","3489.90417727059"
"Canada","2002","3462.96296744712"
"Canada","2001","4047.5160868159"
"Canada","2000","4984.52489451244"
"Canada","1999","5370.47642513038"
"Canada","1998","6476.19287051094"
"Canada","1997","6374.16772074153"
"Canada","1996","6501.37141885059"
"Canada","1995","6346.93669363401"
"Canada","1994","6895.01454213527"
"Canada","1993","7455.58343575616"
"Canada","1992","7578.68311306546"
"Canada","1991","8033.11321531272"
"Canada","1990","7557.90185934868"
"Croatia","2012","0.0311699"
"Croatia","2011","0.016777"
"Croatia","2010","0.0339003"
"Croatia","2009","0.25788015"
"Croatia","1991","850.751424"
"Croatia","1990","1240.238592"
"Czechia","2018","1.32803625110296"
"Czechia","2017","1.48152506708972"
"Czechia","2016","1.44060124140858"
"Czechia","2015","1.93341021047982"
"Czechia","2014","3.02337579679129"
"Czechia","2013","4.07858482112376"
"Czechia","2012","6.18662587313335"
"Czechia","2011","8.24094484118512"
"Czechia","2010","48.0412375382553"
"Czechia","2009","45.4359800176875"
"Czechia","2008","39.7587722967264"
"Czechia","2007","29.0010818184774"
"Czechia","2006","31.0883355447616"
"Czechia","2005","14.8913195065416"
"Czechia","2004","12.8091362467456"
"Czechia","2003","8.55194127609341"
"Czechia","2002","16.3866504453712"
"Czechia","2001","9.74502110584814"
"Czechia","2000","4.68593898376519"
"Czechia","1999","1.09556437391085"
"Czechia","1998","1.65559796704289"
"Czechia","1997","1.72825406801251"
"Czechia","1996","0.6775259"
"Czechia","1995","0.00883"
"Denmark","2018","0.007373464875"
"Denmark","2017","1.093501256"
"Denmark","2016","0.007929747125"
"Denmark","2015","0.01770644"
"Denmark","2014","2.6631205"
"Denmark","2013","3.695"
"Denmark","2012","3.3902"
"Denmark","2011","11.945514484375"
"Denmark","2010","17.058930287802"
"Denmark","2009","19.545038931676"
"Denmark","2008","18.444488645718"
"Denmark","2007","21.186794217955"
"Denmark","2006","21.150361908937"
"Denmark","2005","18.767038231956"
"Denmark","2004","20.534267704379"
"Denmark","2003","24.592389402758"
"Denmark","2002","28.013003919633"
"Denmark","2001","27.911832354461"
"Denmark","2000","22.567448283225"
"Denmark","1999","15.74457587025"
"Denmark","1998","11.4748565225"
"Denmark","1997","5.195285025"
"Denmark","1996","2.09337225"
"Denmark","1995","0.6335525"
"Denmark","1994","0.066225"
"Estonia","2008","0.04855617"
"Estonia","2007","0.0769093"
"Estonia","2006","0.09447217"
"European Union","2018","3650.71462728896"
"European Union","2017","3475.36304566349"
"European Union","2016","3848.55620120599"
"European Union","2015","3427.69470083728"
"European Union","2014","3325.66754445192"
"European Union","2013","3655.02130352704"
"European Union","2012","3529.33657548118"
"European Union","2011","4178.03510760534"
"European Union","2010","3885.0541488786"
"European Union","2009","3665.64872017256"
"European Union","2008","5514.0865270117"
"European Union","2007","5991.11840291305"
"European Union","2006","6469.62572587036"
"European Union","2005","7335.07829353659"
"European Union","2004","8738.36298497332"
"European Union","2003","10284.8261194404"
"European Union","2002","12563.3827992319"
"European Union","2001","10837.3832428745"
"European Union","2000","12195.9753636482"
"European Union","1999","14174.2196955975"
"European Union","1998","14583.9140424003"
"European Union","1997","15419.2490215795"
"European Union","1996","16617.9965286329"
"European Union","1995","17289.8638185222"
"European Union","1994","17618.3207488386"
"European Union","1993","18268.5086029824"
"European Union","1992","19191.9657308569"
"European Union","1991","23505.0287793398"
"European Union","1990","25878.5997454579"
"Finland","2018","1.80736839176569"
"Finland","2017","1.7003438107707"
"Finland","2016","1.55370210375495"
"Finland","2015","1.99939201227944"
"Finland","2014","4.41117390656973"
"Finland","2013","4.76447878735875"
"Finland","2012","3.90283162271778"
"Finland","2011","2.96794160831305"
"Finland","2010","2.61702879216994"
"Finland","2009","3.19851473712978"
"Finland","2008","2.75206833759833"
"Finland","2007","3.03404667691812"
"Finland","2006","3.95658049573718"
"Finland","2005","3.65707567255261"
"Finland","2004","2.9615604656993"
"Finland","2003","3.21200440029422"
"Finland","2002","2.93950542727216"
"Finland","2001","3.77925778102715"
"Finland","2000","3.20719692527"
"Finland","1999","5.04251371946"
"Finland","1998","1.90953455136"
"Finland","1997","1.81586083066"
"Finland","1996","1.75241484941"
"Finland","1995","1.543260997575"
"Finland","1994","0.833626615995"
"Finland","1993","0.37823247745"
"Finland","1992","0.2824973492"
"Finland","1991","0.238116"
"Finland","1990","0.207057"
"France","2018","679.838581781016"
"France","2017","707.679187333981"
"France","2016","666.007971749263"
"France","2015","536.565182538971"
"France","2014","615.880680180217"
"France","2013","670.495415269055"
"France","2012","790.345427958322"
"France","2011","774.03822581171"
"France","2010","617.370221904073"
"France","2009","558.81206304374"
"France","2008","777.746792524516"
"France","2007","1179.43030993816"
"France","2006","1462.39596981777"
"France","2005","1760.32788724352"
"France","2004","2638.85529803323"
"France","2003","3850.8566681438"
"France","2002","4174.16321901902"
"France","2001","2652.96783896737"
"France","2000","2997.4885642297"
"France","1999","4218.40149490227"
"France","1998","3391.71496633918"
"France","1997","2895.97404521093"
"France","1996","2796.24982790072"
"France","1995","3064.56034256325"
"France","1994","4325.48545706277"
"France","1993","4844.06338603529"
"France","1992","4918.31597974481"
"France","1991","4822.54347146533"
"France","1990","5202.46658384413"
"Germany","2018","289.7565921645"
"Germany","2017","257.1573465437"
"Germany","2016","252.1274859936"
"Germany","2015","246.97304183"
"Germany","2014","238.0545761662"
"Germany","2013","261.5944703299"
"Germany","2012","247.7752982868"
"Germany","2011","285.0231586336"
"Germany","2010","355.79065459"
"Germany","2009","417.2441948932"
"Germany","2008","578.275678438"
"Germany","2007","600.5431341023"
"Germany","2006","682.6044378916"
"Germany","2005","851.8349433718"
"Germany","2004","993.3961705905"
"Germany","2003","1032.45632792788"
"Germany","2002","963.503647991"
"Germany","2001","887.3485491746"
"Germany","2000","975.0021266953"
"Germany","1999","1504.3762161203"
"Germany","1998","1799.723831552"
"Germany","1997","1670.4871881524"
"Germany","1996","2055.3231893157"
"Germany","1995","2098.9268519202"
"Germany","1994","1931.0515989799"
"Germany","1993","2267.7358262972"
"Germany","1992","2417.53475"
"Germany","1991","2664.1095"
"Germany","1990","3068.7875"
"Greece","2018","135.313115695098"
"Greece","2017","125.793823345645"
"Greece","2016","135.1675492494"
"Greece","2015","119.522475738721"
"Greece","2014","134.633696322023"
"Greece","2013","172.562015967165"
"Greece","2012","147.771191593888"
"Greece","2011","110.526125998605"
"Greece","2010","129.438348346555"
"Greece","2009","91.3453978446758"
"Greece","2008","118.952206345371"
"Greece","2007","103.042673492972"
"Greece","2006","87.2101002"
"Greece","2005","91.511358864"
"Greece","2004","87.855325596"
"Greece","2003","89.276316768"
"Greece","2002","88.287043956"
"Greece","2001","84.10325592"
"Greece","2000","122.260247232"
"Greece","1999","105.30855576"
"Greece","1998","155.47853778"
"Greece","1997","125.63728338"
"Greece","1996","53.729172"
"Greece","1995","62.8524918"
"Greece","1994","70.308966"
"Greece","1993","112.9376556"
"Greece","1992","187.741785"
"Greece","1991","191.1907368"
"Greece","1990","190.2597858"
"Hungary","2018","0.78916143302294"
"Hungary","2017","1.12492164751552"
"Hungary","2016","0.77904471746566"
"Hungary","2015","1.13260697099564"
"Hungary","2014","1.39976190010464"
"Hungary","2013","1.73700027258223"
"Hungary","2012","1.81130013622823"
"Hungary","2011","2.11110771290811"
"Hungary","2010","1.67643210613204"
"Hungary","2009","3.69890288580613"
"Hungary","2008","4.79870808868294"
"Hungary","2007","4.54037826540194"
"Hungary","2006","3.17983523297692"
"Hungary","2005","280.51847978122"
"Hungary","2004","269.426370033108"
"Hungary","2003","254.412840496853"
"Hungary","2002","271.90618149322"
"Hungary","2001","266.845373482288"
"Hungary","2000","283.114349327952"
"Hungary","1999","287.030881250729"
"Hungary","1998","263.733628988859"
