"Country or Area","Year","Value"
"Australia","2018","11982.082324172"
"Australia","2017","11685.9360964034"
"Australia","2016","11979.4620219494"
"Australia","2015","11795.3249584448"
"Australia","2014","10778.8523262396"
"Australia","2013","9859.71257255419"
"Australia","2012","9055.86893241829"
"Australia","2011","9139.82146465507"
"Australia","2010","8672.21185412461"
"Australia","2009","8109.07325168487"
"Australia","2008","6858.96362011689"
"Australia","2007","6066.18586627096"
"Australia","2006","5166.70568017775"
"Australia","2005","5002.7622515446"
"Australia","2004","4267.13653601783"
"Australia","2003","3578.89689637269"
"Australia","2002","2925.89829073234"
"Australia","2001","2307.10807856309"
"Australia","2000","1613.95320909026"
"Australia","1999","1374.53997863768"
"Australia","1998","998.289579795631"
"Australia","1997","705.228318135053"
"Australia","1996","414.17063782292"
"Australia","1995","1004.03211082861"
"Australia","1994","1027.34354927313"
"Australia","1993","1829.872"
"Australia","1992","1333.184"
"Australia","1991","1424.68352"
"Australia","1990","1424.68352"
"Austria","2018","1834.75894715723"
"Austria","2017","1750.56307493656"
"Austria","2016","1642.98899484183"
"Austria","2015","1623.43163848794"
"Austria","2014","1587.86408410764"
"Austria","2013","1520.3665513298"
"Austria","2012","1492.35613238197"
"Austria","2011","1413.92689794688"
"Austria","2010","1485.66245409008"
"Austria","2009","1310.44035565183"
"Austria","2008","1249.71221818006"
"Austria","2007","1198.41302699172"
"Austria","2006","1155.23316080152"
"Austria","2005","1148.3280217843"
"Austria","2004","1160.21081066843"
"Austria","2003","1073.40827085611"
"Austria","2002","969.363617132006"
"Austria","2001","863.101238986877"
"Austria","2000","713.626554045867"
"Austria","1999","700.924890690691"
"Austria","1998","608.546964889657"
"Austria","1997","498.139986694405"
"Austria","1996","417.201579590825"
"Austria","1995","353.45085312042"
"Austria","1994","261.105590625578"
"Austria","1993","235.26478656483"
"Austria","1992","5.63648639172312"
"Austria","1991","3.88944"
"Austria","1990","2.43756"
"Belgium","2018","4469.83725723507"
"Belgium","2017","4356.87922365054"
"Belgium","2016","4001.36738320696"
"Belgium","2015","4037.27725603104"
"Belgium","2014","3879.29065813118"
"Belgium","2013","3638.4385194506"
"Belgium","2012","3566.96103548522"
"Belgium","2011","3562.48461103344"
"Belgium","2010","3162.30542719384"
"Belgium","2009","2839.10864666153"
"Belgium","2008","2976.13981884555"
"Belgium","2007","3007.82891387692"
"Belgium","2006","2621.22452855217"
"Belgium","2005","2546.55572956118"
"Belgium","2004","1727.99299229106"
"Belgium","2003","1645.26195963978"
"Belgium","2002","1455.93944712819"
"Belgium","2001","1222.51998772962"
"Belgium","2000","1139.9568219343"
"Belgium","1999","940.970392643263"
"Belgium","1998","872.708294613772"
"Belgium","1997","711.587186846675"
"Belgium","1996","586.898209677834"
"Belgium","1995","491.416918273662"
"Belgium","1994","493.80632644369"
"Belgium","1993","481.14942939697"
"Belgium","1992","481.14942939697"
"Bulgaria","2018","2252.52964131014"
"Bulgaria","2017","1816.63588002444"
"Bulgaria","2016","1399.3271114593"
"Bulgaria","2015","1222.07563885577"
"Bulgaria","2014","1107.95603788389"
"Bulgaria","2013","968.375035837374"
"Bulgaria","2012","823.142118615631"
"Bulgaria","2011","752.68182263632"
"Bulgaria","2010","663.046051551738"
"Bulgaria","2009","639.113284107228"
"Bulgaria","2008","625.89211168682"
"Bulgaria","2007","385.794825050179"
"Bulgaria","2006","297.105470434467"
"Bulgaria","2005","195.161822792268"
"Bulgaria","2004","119.921830332935"
"Bulgaria","2003","83.7448899466314"
"Bulgaria","2002","61.2998840883017"
"Bulgaria","2001","45.6749720819561"
"Bulgaria","2000","33.0239154018775"
"Bulgaria","1999","21.5942747737281"
"Bulgaria","1998","15.0698475767498"
"Bulgaria","1997","9.28261237252784"
"Bulgaria","1996","5.84327890930476"
"Bulgaria","1995","3.32842472977408"
"Bulgaria","1994","1.09677551311342"
"Bulgaria","1993","0.02303703221005"
"Bulgaria","1992","0.010681702317"
"Bulgaria","1991","0.003135561"
"Canada","2018","12545.4337165272"
"Canada","2017","11528.0861100581"
"Canada","2016","11317.790993446"
"Canada","2015","11042.4478057882"
"Canada","2014","10951.0288846077"
